ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
577;578;2019/09/06 18:52:52;0;-1;-1;-1;-1;-1;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458.25;120.25;10.4589;459.769;118.091;0;21;1;-0.167626;-0.624528;-2.0111;-0.17974;-0.604648;-2.04719;0.208725;-1.07157;0.775281;-0.453495;3.63031;3.06563;0;0.0859838;0.874528;1.5;-0.0859838;-0.874528;-1.685;-0.349197;18.0992;-0.349197;675;1820;1101;1038;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.171967;1.13689;2.55; 
578;579;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458;123;10.4866;458.961;121.149;0;22;1;-0.165995;-0.633844;-1.99866;-0.175616;-0.613406;-2.03263;0.232931;-0.939165;0.824015;0.192047;4.85481;3.6757;0;0.0646721;0.883844;1.5;-0.0646721;-0.883844;-1.6223;-0.984075;18.292;-0.984075;675;1820;1101;1038;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.129344;1.149;2.55; 
579;580;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456.571;124;10.5251;457.942;123.633;0;23;1;-0.158615;-0.635494;-1.98875;-0.170516;-0.620033;-2.01947;0.253354;-0.81221;0.843503;0.699325;5.85758;3.86413;0;0.0431436;0.885494;1.5;-0.0431436;-0.885494;-1.58026;-1.58714;18.3262;-1.58714;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0862872;1.15114;2.55; 
580;581;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455.75;125.75;10.4798;456.956;125.924;0;24;1;-0.155389;-0.645222;-1.9928;-0.165978;-0.62759;-2.01147;0.270453;-0.70973;0.824707;1.05412;6.47415;3.571;0;0.0276546;0.895222;1.5;-0.0276546;-0.895222;-1.56752;-2.04387;18.5275;-2.04387;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0553092;1.16379;2.55; 
581;582;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456;127.429;10.4933;456.326;128.052;0;25;1;-0.156378;-0.651078;-1.98587;-0.163098;-0.634636;-2.00379;0.268759;-0.630569;0.760753;1.15431;6.69658;2.76049;0;0.0181497;0.901078;1.5;-0.0181497;-0.901078;-1.56437;-2.20837;18.6487;-2.20837;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0362994;1.1714;2.55; 
582;583;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455.667;128.333;10.46;455.776;129.819;0;26;1;-0.155286;-0.656767;-1.98984;-0.160754;-0.641275;-1.9996;0.257784;-0.558599;0.708223;1.03401;6.62654;1.73668;0;0.0166385;0.906767;1.5;-0.0166385;-0.906767;-1.59738;-2.13281;18.7665;-2.13281;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.033277;1.1788;2.55; 
583;584;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454.571;130;10.5056;455.048;131.559;0;27;1;-0.149409;-0.660545;-1.97687;-0.157351;-0.647056;-1.99278;0.24406;-0.504481;0.642172;0.761485;6.24009;0.510557;0;0.0151673;0.910545;1.5;-0.0151673;-0.910545;-1.60806;-2.03039;18.8446;-2.03039;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0303347;1.18371;2.55; 
584;585;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454;130.571;10.4255;454.354;132.937;0;28;1;-0.147823;-0.667913;-1.99057;-0.154492;-0.653313;-1.99212;0.230776;-0.462022;0.547054;0.448284;5.64911;-0.799466;0;0.0195866;0.917913;1.5;-0.0195866;-0.917913;-1.65316;-1.82022;18.9971;-1.82022;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0391732;1.19329;2.55; 
585;586;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454;131.429;10.4155;453.864;134.14;0;29;1;-0.147964;-0.671992;-1.99023;-0.152534;-0.658917;-1.99155;0.21026;-0.432461;0.439681;0.0969125;4.90565;-2.09199;0;0.0258671;0.921992;1.5;-0.0258671;-0.921992;-1.7008;-1.506;19.0815;-1.506;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0517342;1.19859;2.55; 
586;587;2019/09/06 18:52:53;0;-1;-1;-1;-1;-1;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453;133;10.4016;453.21;135.44;0;30;1;-0.143365;-0.679206;-1.98878;-0.149783;-0.665003;-1.99072;0.190816;-0.408856;0.346636;-0.259817;4.14467;-3.16395;0;0.0315581;0.929206;1.5;-0.0315581;-0.929206;-1.75498;-1.21314;19.2308;-1.21314;675;650;1024;1024;1024;863;1024;1024;1024;1;3;0;0;0;0;0;0.0631163;1.20797;2.55; 
