ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;
835;839;2019/10/02 16:15:45;0;603.208;332.226;13.9371;607.191;330.326;0;29;1;-0.644791;-1.10951;-1.08945;-0.636076;-1.14926;-1.14046;-1.18145;1.43972;1.65625;8.6155;-0.22119;1.52309;368;152;8.00571; -nan; -nan;0;1;1;0.343537;-0.993477;-2.51464;0.337618;-0.97471;-2.53858;0.162709;-0.00833265;1.06935;-3.73013;1.38494;2.96183;1;-0.679298;-0.268916;1.11334;0.397169;-1.24348;-2.25608;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
836;840;2019/10/02 16:15:45;0;601.911;330.711;14.204;609.608;330.628;0;30;1;-0.628121;-1.08422;-1.0719;-0.63369;-1.12974;-1.1199;-0.942945;1.34781;1.62192;9.88628;-1.34593;1.36633;366;153;8.05671; -nan; -nan;0;2;1;0.353749;-0.992361;-2.49532;0.342457;-0.980005;-2.5256;0.130719;-0.0513586;0.932784;-3.76888;1.10041;1.63379;1;-0.679298;-0.268916;1.11334;0.390361;-1.24236;-2.2547;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167058;-1.3586;-0.349591;1.37832; 
837;841;2019/10/02 16:15:45;0;599.792;328.083;14.4304;610.537;330.018;0;31;1;-0.61094;-1.05962;-1.06009;-0.626865;-1.10871;-1.10195;-0.6969;1.26826;1.54542;11.0327;-2.4081;0.833046;365;155;7.96001; -nan; -nan;0;3;1;0.364316;-1.01489;-2.51873;0.349015;-0.990469;-2.52354;0.124023;-0.093742;0.838295;-3.56602;0.754683;0.324532;1;-0.679298;-0.268916;1.11334;0.393324;-1.26489;-2.31173;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
838;842;2019/10/02 16:15:45;0;596.222;324.667;14.5682;609.927;328.494;0;32;1;-0.592933;-1.03982;-1.0565;-0.616685;-1.08804;-1.08832;-0.447078;1.20456;1.42583;11.9903;-3.34488;-0.207002;364;156;7.89998; -nan; -nan;0;4;1;0.3734;-1.02787;-2.5344;0.35633;-1.00169;-2.5268;0.142324;-0.169447;0.671792;-3.0407;0.112408;-1.44506;1;-0.679298;-0.268916;1.11334;0.400588;-1.27787;-2.35063;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
839;843;2019/10/02 16:15:45;0;590.312;321.125;14.5849;607.466;326.266;0;33;1;-0.572037;-1.02852;-1.06196;-0.603291;-1.07019;-1.08041;-0.188736;1.16951;1.27857;12.7962;-3.93334;-1.66327;364;156;7.89998; -nan; -nan;1;0;1;0.3734;-1.02787;-2.5344;0.35633;-1.00169;-2.5268;0.142324;-0.169447;0.671792;-3.0407;0.112408;-1.44506;1;-0.679298;-0.268916;1.11334;0.403329;-1.27787;-2.39313;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
840;844;2019/10/02 16:15:45;0;584.051;316.051;14.5761;603.55;323.046;0;34;1;-0.550944;-1.01463;-1.07216;-0.587587;-1.05352;-1.07793;0.0653475;1.15171;1.10391;13.5002;-3.97245;-3.27805;360;160;8.07969; -nan; -nan;0;1;1;0.389799;-1.02564;-2.46443;0.366371;-1.00887;-2.50809;0.180945;-0.23102;0.572035;-2.26858;-0.527273;-2.63251;1;-0.679298;-0.268916;1.11334;0.418589;-1.27564;-2.32854;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
841;845;2019/10/02 16:15:45;0;575.876;309.732;14.506;597.984;318.714;0;35;1;-0.525487;-1.00138;-1.08929;-0.568957;-1.03788;-1.08134;0.307042;1.13547;0.898263;14.0398;-3.59755;-4.99151;358.667;160.667;8.12365; -nan; -nan;0;2;1;0.39588;-1.02351;-2.44885;0.375223;-1.01326;-2.49032;0.228707;-0.278074;0.518357;-1.37994;-1.11527;-3.41857;1;-0.679298;-0.268916;1.11334;0.431073;-1.27351;-2.33759;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
842;846;2019/10/02 16:15:45;0;567.284;301.633;14.3886;591.095;313.017;0;36;1;-0.499978;-0.986099;-1.11363;-0.548263;-1.02234;-1.09103;0.52511;1.10985;0.654145;14.282;-3.10808;-6.85668;356;162;8.39618; -nan; -nan;0;3;1;0.398878;-0.996904;-2.365;0.38232;-1.00836;-2.45272;0.290124;-0.28193;0.604675;-0.392152;-1.60497;-3.64051;1;-0.679298;-0.268916;1.11334;0.440458;-1.2469;-2.27076;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
843;847;2019/10/02 16:15:45;0;556.583;292.533;14.1314;582.593;306.017;0;37;1;-0.471293;-0.977218;-1.15159;-0.525172;-1.00881;-1.1092;0.72086;1.06455;0.363589;14.2266;-2.6777;-8.82999;355.333;162.667;8.13356; -nan; -nan;0;4;1;0.415848;-1.03251;-2.43911;0.392378;-1.0156;-2.44864;0.344822;-0.290913;0.626037;0.497022;-1.78235;-3.2335;1;-0.679298;-0.268916;1.11334;0.470636;-1.28251;-2.32492;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
844;848;2019/10/02 16:15:45;0;544.766;282.75;13.7671;572.579;297.863;0;38;1;-0.440928;-0.973461;-1.20156;-0.499899;-0.998203;-1.13691;0.89854;0.997231;0.0242692;13.9055;-2.43394;-10.8908;353;163;8.35189; -nan; -nan;0;5;1;0.418917;-1.00718;-2.37425;0.40034;-1.01308;-2.42632;0.382447;-0.25187;0.708138;1.18213;-1.61027;-2.38529;1;-0.679298;-0.268916;1.11334;0.480419;-1.25718;-2.2626;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167058;-1.3586;-0.349591;1.37832; 
845;849;2019/10/02 16:15:45;0;531.561;272.195;13.5001;561.047;288.636;0;39;1;-0.400841;-0.960137;-1.24679;-0.470181;-0.986783;-1.16987;1.07028;0.931148;-0.342424;13.3673;-2.41152;-13.0029;352;163;8.32687; -nan; -nan;0;6;1;0.426169;-1.01021;-2.38139;0.408089;-1.01221;-2.41284;0.406501;-0.18712;0.814644;1.61286;-1.02661;-0.942565;1;-0.679298;-0.268916;1.11334;0.493688;-1.26021;-2.25637;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.016707;-1.3586;-0.349591;1.37832; 
846;850;2019/10/02 16:15:45;0;517.008;261.58;13.2843;548.005;278.622;0;40;1;-0.352689;-0.942437;-1.28898;-0.434934;-0.973479;-1.20561;1.25132;0.878081;-0.714912;12.7528;-2.53879;-15.0595;351;163;8.36993; -nan; -nan;0;7;1;0.429938;-1.00501;-2.36914;0.414643;-1.01005;-2.39973;0.43653;-0.116974;0.921177;1.98762;-0.160874;0.827698;1;-0.679298;-0.268916;1.11334;0.499765;-1.25501;-2.2292;-41.3328;19.1399;-41.3328;640.322;1824;731;1228;1024;913;1024;1024;1024;1;3;0;0.0167061;-1.3586;-0.349591;1.37832; 
