ID;RS_ID;insect_log;imLx_drone;imLy_drone;disparity_drone;imLx_pred_drone;imLy_pred_drone;n_frames_lost_drone;n_frames_tracking_drone;foundL_drone;posX_drone;posY_drone;posZ_drone;sposX_drone;sposY_drone;sposZ_drone;svelX_drone;svelY_drone;svelZ_drone;saccX_drone;saccY_drone;saccZ_drone;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;valid;posErrX;posErrY;posErrZ;velX;velY;velZ;accX;accY;accZ;hoverthrottle;autoThrottle;autoRoll;autoPitch;autoYaw;joyThrottle;joyRoll;joyPitch;joyYaw;joyArmSwitch;joyModeSwitch;joyTakeoffSwitch;throttleP;throttleI;throttleD;dt;dx;dy;dz;velx_sp;vely_sp;velz_sp;Unnamed: 76;time
964.0;967.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;801.429;324.0;14.174000000000001;808.313;324.434;0.0;15.0;1.0;-1.33185;-1.03816;-1.1145399999999999;-1.35911;-1.03576;-1.1179999999999999;0.38259299999999996;-0.259671;-0.155385;2.54541;-0.9185209999999999;-0.335733;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.220
965.0;968.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;799.6;324.0;13.7056;805.255;324.791;0.0;16.0;1.0;-1.37071;-1.0736299999999999;-1.1526299999999998;-1.36259;-1.04712;-1.12839;0.343242;-0.295652;-0.195126;1.9859099999999998;-0.7891779999999999;-0.376893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.231
965.0;968.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;799.6;324.0;13.7056;805.255;324.791;0.0;16.0;1.0;-1.37071;-1.0736299999999999;-1.1526299999999998;-1.36259;-1.04712;-1.12839;0.343242;-0.295652;-0.195126;1.9859099999999998;-0.7891779999999999;-0.376893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.242
966.0;969.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;795.75;324.25;13.8307;801.8789999999999;325.112;0.0;17.0;1.0;-1.34443;-1.0647;-1.14173;-1.35714;-1.05239;-1.13239;0.322601;-0.316152;-0.218596;1.40016;-0.783926;-0.5167109999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.253
967.0;970.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;794.4;324.0;13.5803;799.015;325.257;0.0;18.0;1.0;-1.36425;-1.08354;-1.16326;-1.35927;-1.06174;-1.1416600000000001;0.25901;-0.356584;-0.268514;0.525116;-0.99331;-0.882033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.264
967.0;970.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;794.4;324.0;13.5803;799.015;325.257;0.0;18.0;1.0;-1.36425;-1.08354;-1.16326;-1.35927;-1.06174;-1.1416600000000001;0.25901;-0.356584;-0.268514;0.525116;-0.99331;-0.882033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.275
968.0;971.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;791.091;324.72700000000003;13.6822;795.941;325.566;0.0;19.0;1.0;-1.3420299999999998;-1.0777299999999999;-1.1532;-1.3541;-1.06653;-1.1451200000000001;0.245574;-0.365181;-0.27975900000000004;-0.0861947;-1.08374;-1.0773700000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.286
969.0;972.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;787.6669999999999;325.66700000000003;13.6486;792.677;326.06;0.0;20.0;1.0;-1.33281;-1.0833;-1.1542299999999999;-1.34771;-1.07156;-1.14785;0.239465;-0.366161;-0.281112;-0.485843;-1.05053;-1.10506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.297
969.0;972.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;787.6669999999999;325.66700000000003;13.6486;792.677;326.06;0.0;20.0;1.0;-1.33281;-1.0833;-1.1542299999999999;-1.34771;-1.07156;-1.14785;0.239465;-0.366161;-0.281112;-0.485843;-1.05053;-1.10506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.308
970.0;973.0;0.0;-1.0;-1.0;-1.0;461.583;398.667;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;786.4;326.0;13.5446;789.93;326.506;0.0;21.0;1.0;-1.33838;-1.09266;-1.16244;-1.34491;-1.07789;-1.1522299999999999;0.200351;-0.387911;-0.305321;-1.01914;-1.14234;-1.26169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;228.0;1024.0;1024.0;1024.0;930.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;1300.0;15.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1970-01-01 00:00:00.319
