ID;RS_ID;insect_log;imLx_drone;imLy_drone;disparity_drone;imLx_pred_drone;imLy_pred_drone;n_frames_lost_drone;n_frames_tracking_drone;foundL_drone;posX_drone;posY_drone;posZ_drone;sposX_drone;sposY_drone;sposZ_drone;svelX_drone;svelY_drone;svelZ_drone;saccX_drone;saccY_drone;saccZ_drone;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;valid;posErrX;posErrY;posErrZ;velX;velY;velZ;accX;accY;accZ;hoverthrottle;autoThrottle;autoRoll;autoPitch;autoYaw;joyThrottle;joyRoll;joyPitch;joyYaw;joyArmSwitch;joyModeSwitch;joyTakeoffSwitch;dt;dx;dy;dz;velx_sp;vely_sp;velz_sp;Unnamed: 73;time
670.0;671.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;417.0;61.0;9.709710000000001;418.11;59.6739;0.0;114.0;1.0;0.031429200000000004;-0.41766400000000004;-2.33261;0.027813;-0.427858;-2.34481;0.0787163;0.108608;-0.249881;1.9635200000000002;-0.8462370000000001;1.11277;0.0;-0.047512900000000004;0.667664;1.5;0.047512900000000004;-0.667664;-2.41552;-1.65055;13.818;-1.65055;696.9019999999999;701.0;980.0;1313.0;1024.0;863.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;-0.09502580000000001;0.8679629999999999;2.55;;1970-01-01 00:00:01.804
671.0;672.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;417.0;61.0;9.55493;417.825;59.2352;0.0;115.0;1.0;0.031938299999999996;-0.42443000000000003;-2.3704;0.029050599999999996;-0.426829;-2.35248;0.0867059;0.116844;-0.219919;1.8219400000000001;-0.600167;1.8500599999999998;0.0;-0.052194500000000005;0.67443;1.5;0.052194500000000005;-0.67443;-2.4347;-1.8154;13.958;-1.8154;696.9019999999999;685.0;980.0;1300.0;1024.0;846.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;-0.10438900000000001;0.876758;2.55;;1970-01-01 00:00:01.815
671.0;672.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;417.0;61.0;9.55493;417.825;59.2352;0.0;115.0;1.0;0.031938299999999996;-0.42443000000000003;-2.3704;0.029050599999999996;-0.426829;-2.35248;0.0867059;0.116844;-0.219919;1.8219400000000001;-0.600167;1.8500599999999998;0.0;-0.052194500000000005;0.67443;1.5;0.052194500000000005;-0.67443;-2.4347;-1.8154;13.958;-1.8154;696.9019999999999;685.0;980.0;1300.0;1024.0;846.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;-0.10438900000000001;0.876758;2.55;;1970-01-01 00:00:01.826
672.0;673.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;417.2;59.6;9.58642;417.67800000000005;58.5082;0.0;116.0;1.0;0.0307923;-0.41693100000000005;-2.36659;0.029573099999999998;-0.42386;-2.35672;0.09081510000000001;0.13056900000000002;-0.188869;1.6178299999999999;-0.312052;2.3500099999999997;0.0;-0.052913699999999994;0.666931;1.5;0.052913699999999994;-0.666931;-2.4227;-1.8681;13.8028;-1.8681;696.9019999999999;677.0;982.0;1291.0;1024.0;812.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;-0.105827;0.8670110000000001;2.55;;1970-01-01 00:00:01.837
673.0;674.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;418.667;59.3333;9.729230000000001;418.038;57.9332;0.0;117.0;1.0;0.022818099999999997;-0.409666;-2.3326;0.0275466;-0.41960200000000003;-2.34948;0.0769687;0.148921;-0.114219;1.2881799999999999;0.00848751;2.8334;0.0;-0.0455005;0.659666;1.5;0.0455005;-0.659666;-2.37977;-1.59571;13.6524;-1.59571;696.9019999999999;666.0;989.0;1277.0;1024.0;812.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;-0.091001;0.8575649999999999;2.55;;1970-01-01 00:00:01.848
673.0;674.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;418.667;59.3333;9.729230000000001;418.038;57.9332;0.0;117.0;1.0;0.022818099999999997;-0.409666;-2.3326;0.0275466;-0.41960200000000003;-2.34948;0.0769687;0.148921;-0.114219;1.2881799999999999;0.00848751;2.8334;0.0;-0.0455005;0.659666;1.5;0.0455005;-0.659666;-2.37977;-1.59571;13.6524;-1.59571;696.9019999999999;666.0;989.0;1277.0;1024.0;812.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;-0.091001;0.8575649999999999;2.55;;1970-01-01 00:00:01.859
674.0;675.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;419.0;59.0;9.53374;418.403;57.4468;0.0;118.0;1.0;0.0215413;-0.416605;-2.38138;0.025745;-0.418703;-2.35905;0.0533503;0.155558;-0.0994391;0.846578;0.25643699999999997;2.9166;0.0;-0.040807300000000005;0.666605;1.5;0.040807300000000005;-0.666605;-2.40997;-1.28217;13.7961;-1.28217;696.9019999999999;663.0;998.0;1275.0;1024.0;761.0;1024.0;1024.0;1024.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;-0.0816147;0.8665860000000001;2.55;;1970-01-01 00:00:01.870
675.0;676.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;421.0;58.0;9.53844;419.30300000000005;56.8114;0.0;119.0;1.0;0.0110678;-0.412017;-2.38307;0.0213418;-0.41669700000000004;-2.36626;0.0123613;0.155338;-0.124445;0.30799499999999996;0.391462;2.5382700000000002;0.0;-0.0243426;0.662017;1.5;0.0243426;-0.662017;-2.40781;-0.579942;13.7011;-0.579942;696.9019999999999;670.0;1013.0;1282.0;1024.0;719.0;1024.0;1024.0;1024.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-0.0486852;0.8606219999999999;2.55;;1970-01-01 00:00:01.881
675.0;676.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;421.0;58.0;9.53844;419.30300000000005;56.8114;0.0;119.0;1.0;0.0110678;-0.412017;-2.38307;0.0213418;-0.41669700000000004;-2.36626;0.0123613;0.155338;-0.124445;0.30799499999999996;0.391462;2.5382700000000002;0.0;-0.0243426;0.662017;1.5;0.0243426;-0.662017;-2.40781;-0.579942;13.7011;-0.579942;696.9019999999999;670.0;1013.0;1282.0;1024.0;719.0;1024.0;1024.0;1024.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-0.0486852;0.8606219999999999;2.55;;1970-01-01 00:00:01.892
676.0;677.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;421.0;57.0;9.52789;419.952;56.0673;0.0;120.0;1.0;0.01108;-0.408086;-2.38857;0.0182633;-0.41411400000000004;-2.37295;-0.030711400000000003;0.148077;-0.18703499999999998;-0.252107;0.392463;1.77388;0.0;-0.0141714;0.658086;1.5;0.0141714;-0.658086;-2.41969;0.0225025;13.6198;0.0225025;696.9019999999999;686.0;1025.0;1298.0;1024.0;618.0;1024.0;1024.0;1024.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-0.028342700000000002;0.855512;2.55;;1970-01-01 00:00:01.903
