ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; dtrkr_state;imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; trkrs_state;interceptor_state;hunt_vol_check;nav_state;valid; flight_mode;target_pos_x; target_pos_y; target_pos_z; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch;dt; heading; Sheading;
2675;2678;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;315;33;5.60363;314.398;30.5915;0;1;1;0.972469;0.317266;-4.1782;0.982586;0.311734;-4.25283;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2676;2679;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;313;34;5.79353;313.374;31.0903;0;2;1;0.957839;0.33098;-4.03624;0.975162;0.317508;-4.18785;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2677;2680;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;313;35;5.33;312.695;31.7478;0;3;1;1.04114;0.269507;-4.38183;0.994955;0.303108;-4.24605;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2678;2681;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;312;36;5.57636;311.91;32.5374;0;4;1;1.0041;0.292271;-4.18305;0.997699;0.299857;-4.22715;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2679;2682;2019/11/20 17:00:59;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;312;36;5.57636;311.341;32.0018;1;0;1;1.0041;0.292271;-4.18305;0.997699;0.299857;-4.22715;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2680;2683;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;312;36;5.57636;310.772;31.4662;2;0;1;1.0041;0.292271;-4.18305;0.997699;0.299857;-4.22715;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2681;2684;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;312;36;5.57636;310.204;30.9306;3;0;1;1.0041;0.292271;-4.18305;0.997699;0.299857;-4.22715;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2682;2685;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;309;37;5.53308;309.035;33.4193;0;1;1;1.03904;0.279768;-4.21054;1.0101;0.29383;-4.22217;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2683;2686;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;308;38;6.02976;308.027;34.8409;0;2;1;0.961739;0.328225;-3.85891;0.995593;0.304148;-4.11319;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
2684;2687;2019/11/20 17:01:00;0;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;308;38;6.02976;307.418;34.5014;1;0;1;0.961739;0.328225;-3.85891;0.995593;0.304148;-4.11319;0;0;0;0;0;0;2;4;5;5;0;3;0;0;0;675;304;1024;1024;1024;224;1024;1024;1024;1824;3;0;0;0.000221519;0; 
