RS_ID;time;imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; 
7067;117.347351;428.571;70;8.21723;414.06;74.2484;0;60;1;-0.0393102;-0.398025;-2.72841;-0.00582432;-0.468035;-2.63116;-0.755949;1.28887;-3.07948;-7.31861;6.25463;0.631479;
7068;117.364049;430;61;8.00698;417.048;66.2798;0;61;1;-0.0492299;-0.359978;-2.82803;-0.018846;-0.435618;-2.69022;-0.790938;1.44067;-2.97296;-6.35387;7.2893;3.04922;
7069;117.380746;431;53.2;7.99411;419.624;58.1813;0;62;1;-0.0555403;-0.318458;-2.85687;-0.0298543;-0.40047;-2.74022;-0.804274;1.58292;-2.94603;-5.34109;8.06077;4.63691;
7070;117.397443;432;48;8.13085;421.891;50.8251;0;63;1;-0.0607327;-0.285508;-2.82475;-0.0391178;-0.365982;-2.76558;-0.788005;1.70116;-2.85961;-4.2416;8.45894;5.56953;
7071;117.41414;434.222;38.6667;8.05091;424.316;42.6974;0;64;1;-0.0750853;-0.238323;-2.88165;-0.0499081;-0.327684;-2.8004;-0.761263;1.80979;-2.75514;-3.09706;8.47138;5.94053;
7072;117.430837;437;31;7.9651;427.024;34.5475;0;65;1;-0.0932663;-0.199361;-2.93666;-0.0629155;-0.289187;-2.84128;-0.742006;1.91976;-2.65841;-2.02948;8.24699;5.95355;
7073;117.447534;440.222;26.6667;8.02624;430.073;27.4524;0;66;1;-0.112554;-0.174547;-2.92773;-0.0778071;-0.254795;-2.86721;-0.73261;2.00326;-2.53753;-1.1245;7.80056;5.73599;
7074;117.464231;444;19.4286;7.85104;433.537;20.2019;0;67;1;-0.139035;-0.138664;-3.01601;-0.0961754;-0.219956;-2.91185;-0.748319;2.06303;-2.40742;-0.504535;7.16524;5.69961;
7075;117.480928;449.6;12.6;7.87917;437.876;12.9748;0;68;1;-0.173942;-0.100775;-3.02682;-0.119505;-0.184202;-2.94634;-0.806944;2.10132;-2.26746;-0.313379;6.36895;6.12914;
7076;117.497626;455.333;8.66667;7.85128;442.883;6.69203;0;69;1;-0.210936;-0.0795172;-3.05005;-0.146935;-0.152796;-2.97745;-0.914647;2.11198;-2.20644;-0.693671;5.46164;6.28539;
7077;117.514322;460.667;4.22222;7.90628;448.237;0.936021;0;70;1;-0.243071;-0.0547093;-3.04282;-0.175776;-0.12337;-2.99706;-1.05134;2.08295;-2.10909;-1.5744;4.36763;6.35071;
