RS_ID;imLx_insect;imLy_insect;disparity_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;Unnamed: 22;time
7032.0;534.4;207.2;13.0496;547.617;207.797;0.0;25.0;1.0;-0.428726;-0.704271;-1.45633;-0.5260600000000001;-0.69231;-1.4463700000000002;2.1052;-0.526059;-0.778837;6.82665;5.88513;4.72121;;1970-01-01 00:00:00.385
7033.0;527.0;208.0;12.5306;536.117;208.57299999999998;0.0;26.0;1.0;-0.41706499999999996;-0.7361949999999999;-1.51506;-0.493361;-0.705475;-1.46698;2.14799;-0.506584;-0.763153;6.3646199999999995;5.67583;4.85749;;1970-01-01 00:00:00.396
7034.0;514.0;210.0;12.9098;523.899;209.731;0.0;27.0;1.0;-0.354652;-0.721252;-1.4667;-0.45174899999999996;-0.710208;-1.4669;2.1815700000000002;-0.497651;-0.728202;5.65864;4.98335;4.52108;;1970-01-01 00:00:00.407
7034.0;514.0;210.0;12.9098;523.899;209.731;0.0;27.0;1.0;-0.354652;-0.721252;-1.4667;-0.45174899999999996;-0.710208;-1.4669;2.1815700000000002;-0.497651;-0.728202;5.65864;4.98335;4.52108;;1970-01-01 00:00:00.418
7035.0;506.70599999999996;211.176;12.892999999999999;512.939;210.912;0.0;28.0;1.0;-0.326932;-0.726128;-1.46634;-0.414304;-0.7149840000000001;-1.4667299999999999;2.21222;-0.463409;-0.633233;4.87145;4.2674900000000004;4.28215;;1970-01-01 00:00:00.429
7036.0;494.286;213.048;12.9564;501.30699999999996;212.327;0.0;29.0;1.0;-0.277582;-0.728808;-1.45557;-0.373287;-0.7191310000000001;-1.46338;2.25391;-0.43397299999999994;-0.51154;4.17477;3.5677300000000005;4.2965599999999995;;1970-01-01 00:00:00.440
7036.0;494.286;213.048;12.9564;501.30699999999996;212.327;0.0;29.0;1.0;-0.277582;-0.728808;-1.45557;-0.373287;-0.7191310000000001;-1.46338;2.25391;-0.43397299999999994;-0.51154;4.17477;3.5677300000000005;4.2965599999999995;;1970-01-01 00:00:00.451
7037.0;484.267;216.8;12.661;489.94300000000004;214.49900000000002;0.0;30.0;1.0;-0.24464;-0.758601;-1.48215;-0.33469299999999996;-0.7309720000000001;-1.46901;2.28297;-0.43522;-0.41436000000000006;3.52846;2.79333;4.37526;;1970-01-01 00:00:00.462
7038.0;474.70599999999996;217.176;12.5209;478.925;216.167;0.0;31.0;1.0;-0.20934;-0.768387;-1.49799;-0.297087;-0.742197;-1.47771;2.28401;-0.460316;-0.373719;2.8309900000000003;1.93849;4.2426699999999995;;1970-01-01 00:00:00.473
7038.0;474.70599999999996;217.176;12.5209;478.925;216.167;0.0;31.0;1.0;-0.20934;-0.768387;-1.49799;-0.297087;-0.742197;-1.47771;2.28401;-0.460316;-0.373719;2.8309900000000003;1.93849;4.2426699999999995;;1970-01-01 00:00:00.484
7039.0;464.0;217.0;12.5678;467.81;217.29;0.0;32.0;1.0;-0.166125;-0.764912;-1.49275;-0.257799;-0.749011;-1.48222;2.311;-0.45002700000000007;-0.285078;2.34947;1.38893;4.45453;;1970-01-01 00:00:00.495
