ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; dt; velx_sp; vely_sp; velz_sp;
322;325;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;416.667;255.333;8.84633;421.613;255.993;0;23;1;0.0363769;-1.39242;-1.95031;-0.00576326;-1.40578;-1.97512;1.08114;-0.126092;0.398498;3.35795;2.5941;0.485778;0;0;0;0;0.475791;-1.49242;-1.79713;0;0;0;675;650;848;1094;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
323;326;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;413;255;8.76131;417.967;256.108;0;24;1;0.0576132;-1.40435;-1.97029;0.0132497;-1.40535;-1.97367;1.10411;-0.0561364;0.397615;3.1427;3.13025;0.60859;0;0;0;0;0.522958;-1.50435;-1.79877;0;0;0;675;650;845;1096;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
324;327;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409;255;8.87446;414.11;256.176;0;25;1;0.0793701;-1.38644;-1.94517;0.0330858;-1.39968;-1.96512;1.11644;7.31237E-05;0.377719;2.78599;3.35633;0.399988;0;0;0;0;0.566066;-1.48644;-1.7699;0;0;0;675;650;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
325;328;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407.333;254.667;8.88569;410.82;256.107;0;26;1;0.0886293;-1.38313;-1.94374;0.0497489;-1.39471;-1.95871;1.12069;0.0829027;0.403256;2.34096;3.62217;0.336921;0;0;0;0;0.591179;-1.48313;-1.77372;0;0;0;675;1824;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
326;329;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405.6;252.8;8.82458;407.932;255.461;0;27;1;0.0990444;-1.38392;-1.96304;0.0645375;-1.39148;-1.96001;1.1058;0.142297;0.388419;1.81696;3.84714;0.307397;0;0;0;0;0.615339;-1.48392;-1.77726;0;0;0;675;1824;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
327;330;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404;251;8.87918;405.38;254.415;0;28;1;0.107427;-1.36698;-1.95656;0.0774044;-1.38413;-1.95897;1.06751;0.194651;0.339938;1.1689;3.93443;0.0833289;0;0;0;0;0.627322;-1.46698;-1.77394;0;0;0;675;1824;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
328;331;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402.667;249.333;8.80519;403.159;253.119;0;29;1;0.115886;-1.37059;-1.97823;0.0889489;-1.38007;-1.96475;1.01853;0.219415;0.245359;0.451448;3.73968;-0.561229;0;0;0;0;0.62653;-1.47059;-1.81562;0;0;0;675;1824;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
329;332;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401;248;8.8482;401.076;251.747;0;30;1;0.124722;-1.35767;-1.97277;0.0996808;-1.37335;-1.96715;0.956088;0.259382;0.173221;-0.319919;3.50313;-1.23236;0;0;0;0;0.619427;-1.45767;-1.8536;0;0;0;675;1824;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
330;333;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400.667;245.333;8.85419;399.514;249.904;0;31;1;0.126516;-1.34423;-1.97975;0.107731;-1.36461;-1.97093;0.871584;0.295592;0.0807324;-1.16923;3.28138;-1.92477;0;0;0;0;0.598164;-1.44423;-1.89429;0;0;0;675;1824;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
331;334;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401;244;8.56837;398.541;248.138;0;32;1;0.128795;-1.3826;-2.05008;0.114051;-1.37001;-1.99468;0.779678;0.276;-0.0951713;-2.06305;2.73978;-3.14485;0;0;0;0;0.564483;-1.4826;-2.00972;0;0;0;675;1824;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
332;335;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;242;8.57027;397.58;246.222;0;33;1;0.134589;-1.37259;-2.05606;0.120212;-1.37078;-2.01309;0.69009;0.248219;-0.269049;-2.89755;2.06677;-4.51188;0;0;0;0;0.529778;-1.47259;-2.1043;0;0;0;675;1824;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
333;336;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;239;8.48566;396.939;243.884;0;34;1;0.135931;-1.37158;-2.08632;0.124928;-1.37102;-2.03506;0.603793;0.201256;-0.465211;-3.58993;1.26643;-5.92172;0;0;0;0;0.491997;-1.47158;-2.22514;0;0;0;675;650;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
334;337;2019/10/22 18:37:16;0;-1;-1;-1;-1;-1;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399.333;236.667;8.48665;396.323;241.452;0;35;1;0.139835;-1.35999;-2.09366;0.1294;-1.36771;-2.05264;0.523778;0.170087;-0.63004;-4.12927;0.562918;-7.0481;0;0;0;0;0.457821;-1.45999;-2.33867;0;0;0;675;650;845;1087;1024;224;1024;1024;1024;1;4;0;0;0;0;0; 
