ID;RS_ID;time;insect_log;imLx_drone; imLy_drone; disparity_drone; imLx_pred_drone; imLy_pred_drone; n_frames_lost_drone; n_frames_tracking_drone; foundL_drone; posX_drone; posY_drone; posZ_drone; sposX_drone; sposY_drone; sposZ_drone; svelX_drone; svelY_drone; svelZ_drone; saccX_drone; saccY_drone; saccZ_drone; imLx_insect; imLy_insect; disparity_insect; imLx_pred_insect; imLy_pred_insect; n_frames_lost_insect; n_frames_tracking_insect; foundL_insect; posX_insect; posY_insect; posZ_insect; sposX_insect; sposY_insect; sposZ_insect; svelX_insect; svelY_insect; svelZ_insect; saccX_insect; saccY_insect; saccZ_insect; valid; posErrX; posErrY; posErrZ; velX; velY; velZ; accX; accY; accZ; hoverthrottle; autoThrottle; autoRoll; autoPitch; autoYaw; joyThrottle; joyRoll; joyPitch; joyYaw; joyArmSwitch; joyModeSwitch; joyTakeoffSwitch; throttleP; throttleI; throttleD; dt; dx; dy; dz; velx_sp; vely_sp; velz_sp;
972;975;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;780;327.429;13.4422;783.657;327.849;0;23;1;-1.32482;-1.10549;-1.1685;-1.33467;-1.09072;-1.15886;0.218627;-0.38198;-0.278684;-1.08964;-0.879903;-0.91746;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
973;976;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;777;329;13.4747;780.56;328.68;0;24;1;-1.31051;-1.10776;-1.1626;-1.32742;-1.09583;-1.15998;0.258355;-0.36532;-0.240389;-0.656405;-0.562822;-0.438183;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
974;977;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;773.429;330;13.4567;777.237;329.577;0;25;1;-1.29902;-1.11238;-1.1622;-1.3189;-1.1008;-1.16065;0.295555;-0.356;-0.20623;-0.194284;-0.301035;0.0306665;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
975;978;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;770.4;330;13.3524;773.919;330.212;0;26;1;-1.29785;-1.12108;-1.17128;-1.31259;-1.10688;-1.16384;0.31759;-0.354619;-0.187558;0.195359;-0.134537;0.391933;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
976;979;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;767;332;13.3923;770.492;331.276;0;27;1;-1.28132;-1.12407;-1.16385;-1.3032;-1.11204;-1.16384;0.357084;-0.349108;-0.1589;0.743003;0.0742064;0.819775;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
977;980;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762.667;331.778;13.306;766.697;331.962;0;28;1;-1.27338;-1.13065;-1.17184;-1.29426;-1.11762;-1.16624;0.392456;-0.342118;-0.141306;1.15499;0.202049;1.07898;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
978;981;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;758.571;333.143;13.3565;762.711;332.866;0;29;1;-1.25326;-1.13071;-1.16472;-1.28196;-1.12155;-1.16579;0.445933;-0.328339;-0.112432;1.60058;0.335404;1.3112;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
979;982;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;755.667;332.167;12.9144;758.959;333.197;0;30;1;-1.28494;-1.16621;-1.20658;-1.28285;-1.13494;-1.17802;0.445515;-0.353161;-0.139487;1.70763;0.24979;1.1896;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
980;983;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;751;334;13.1352;754.83;333.99;0;31;1;-1.24561;-1.15251;-1.18262;-1.27168;-1.14022;-1.1794;0.455853;-0.369275;-0.158569;1.66461;0.096871;0.904058;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
981;984;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;748.727;333.818;12.9243;751.181;334.487;0;32;1;-1.25716;-1.17073;-1.20228;-1.26732;-1.14937;-1.18627;0.454236;-0.391197;-0.184693;1.54436;-0.0879266;0.553874;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
982;985;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;744;334;12.9027;747.113;334.883;0;33;1;-1.24099;-1.17329;-1.20393;-1.25942;-1.15654;-1.19157;0.447353;-0.412422;-0.22151;1.28704;-0.305553;0.0823376;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
983;986;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;741.333;334.222;12.7853;743.393;335.218;0;34;1;-1.24198;-1.1848;-1.21453;-1.25419;-1.16502;-1.19845;0.428393;-0.436709;-0.261524;0.91571;-0.561009;-0.430601;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
984;987;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;737.333;334.222;12.6445;739.508;335.439;0;35;1;-1.24002;-1.19799;-1.22805;-1.24994;-1.17491;-1.20733;0.384885;-0.475095;-0.322805;0.305682;-0.922556;-1.09831;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
985;988;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;734;335;12.7336;735.716;335.822;0;36;1;-1.21828;-1.19219;-1.21785;-1.24044;-1.1801;-1.21049;0.400269;-0.465337;-0.323306;0.00275573;-1.00142;-1.39292;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
986;989;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;731;335;12.5441;732.102;336.078;0;37;1;-1.22475;-1.21021;-1.23625;-1.23573;-1.18913;-1.21822;0.383681;-0.474503;-0.348961;-0.28651;-1.021;-1.59593;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
987;990;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727;335;12.5719;728.302;336.243;0;38;1;-1.20617;-1.20753;-1.23351;-1.22686;-1.19465;-1.22281;0.391751;-0.465499;-0.355268;-0.421389;-0.909262;-1.63861;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
988;991;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;725;335.6;12.5096;725.003;336.53;0;39;1;-1.20419;-1.21557;-1.23839;-1.22006;-1.20093;-1.22748;0.39221;-0.456503;-0.356554;-0.473003;-0.721558;-1.52236;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
989;992;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;721.429;336;12.4885;721.573;336.845;0;40;1;-1.19196;-1.21898;-1.23964;-1.21163;-1.20634;-1.23113;0.405251;-0.438891;-0.344382;-0.3762;-0.441648;-1.24424;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
990;993;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;719.6;336;12.3871;718.603;337.052;0;41;1;-1.19434;-1.22896;-1.24978;-1.20644;-1.21313;-1.23672;0.416805;-0.415924;-0.323974;-0.0982721;-0.0287365;-0.751215;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
991;994;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716;337;12.3993;715.406;337.5;0;42;1;-1.17868;-1.23117;-1.24643;-1.19812;-1.21854;-1.23963;0.41907;-0.40305;-0.310759;0.0161032;0.231451;-0.400635;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
992;995;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714;337.429;12.3645;712.553;337.941;0;43;1;-1.17393;-1.23611;-1.24903;-1.19086;-1.22381;-1.24245;0.430602;-0.380302;-0.283226;0.197003;0.514987;0.0220782;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
993;996;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;710;337.429;12.2933;709.317;338.241;0;44;1;-1.16449;-1.24326;-1.25626;-1.18295;-1.22965;-1.24659;0.43369;-0.36791;-0.264917;0.285648;0.698635;0.373992;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
994;997;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;707;338;12.3553;706.121;338.62;0;45;1;-1.14654;-1.23899;-1.24874;-1.17203;-1.23245;-1.24724;0.452003;-0.346605;-0.237834;0.410123;0.857969;0.698408;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
995;998;2019/07/17 13:12:35;0;-1;-1;-1;461.583;398.667;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;705.6;338;12.0601;703.464;338.875;0;46;1;-1.16881;-1.26931;-1.2793;-1.17106;-1.24351;-1.25686;0.433182;-0.35635;-0.245431;0.357595;0.844342;0.814125;0;0;0;0;0;0;0;0;0;0;1000;228;1024;1024;1024;930;1024;1024;1024;1;3;0;1300;15;9;0;0;0;0;0;0;0; 
