rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
303515;3377.262906;802;204;23.1866;0;0.201481;4;808.954;206.507;3;0;1;1;-1.56057;-0.790154;-1.51591;-1.56416;-0.795182;-1.53584;1;0.218323;0.303761;1.18924;1;-0.862416;-0.368843;-3.07725;-1;fp_not_a_fp;-1;0.242511;
303516;3377.274033;802;204;23.1866;0;0.201481;4;811.28;207.324;4;0;1;1;-1.5582;-0.786801;-1.50289;-1.56178;-0.791834;-1.52255;1;0.216336;0.302777;1.1831;1;-0.494117;-0.228948;-1.48201;-1;fp_not_a_fp;-1;0.242494;
303517;3377.285160;802;204;23.1866;0;0.201481;4;813.647;208.158;5;0;1;1;-1.55583;-0.783451;-1.48983;-1.55939;-0.788479;-1.50942;1;0.215128;0.302154;1.17931;1;-0.277436;-0.135495;-0.795777;-1;fp_not_a_fp;-1;0.242525;
303518;3377.296288;802;204;23.1866;0;0.201481;4;816.05;209.005;6;0;1;1;-1.55345;-0.780102;-1.47678;-1.55701;-0.785127;-1.49635;1;0.214393;0.301744;1.17695;1;-0.160998;-0.0815992;-0.4795;-1;fp_not_a_fp;-1;0.242497;
303519;3377.307414;802;204;23.1866;0;0.201481;4;818.49;209.865;7;0;1;1;-1.55108;-0.776755;-1.46373;-1.55464;-0.781777;-1.48331;1;0.213937;0.301462;1.17543;1;-0.0985466;-0.0516528;-0.310222;-1;fp_not_a_fp;-1;0.242522;
303520;3377.318541;802;204;23.1866;0;0.201481;4;820.966;210.737;8;0;1;1;-1.54871;-0.773408;-1.45069;-1.55227;-0.778429;-1.47026;1;0.213642;0.301255;1.17437;1;-0.0605211;-0.0341885;-0.196169;-1;fp_not_a_fp;-1;0.242505;
303521;3377.329669;802;204;23.1866;0;0.201481;4;823.48;211.623;9;0;1;1;-1.54634;-0.770063;-1.43765;-1.5499;-0.775082;-1.45721;1;0.21344;0.301087;1.17357;1;-0.0379375;-0.0239579;-0.128936;-1;fp_not_a_fp;-1;0.242548;
303522;3377.340796;802;204;23.1866;0;0.201481;4;826.033;212.523;10;0;1;1;-1.54397;-0.766719;-1.42462;-1.54753;-0.771736;-1.44417;1;0.21329;0.300946;1.17293;1;-0.0247716;-0.0179074;-0.0902959;-1;fp_not_a_fp;-1;0.24249;
303523;3377.351923;802;204;23.1866;0;0.201481;4;828.625;213.436;11;0;1;1;-1.5416;-0.763377;-1.41159;-1.54516;-0.768392;-1.43114;1;0.213175;0.30082;1.17239;1;-0.0171355;-0.0144146;-0.0682248;-1;fp_not_a_fp;-1;0.242484;
303524;3377.363049;802;204;23.1866;0;0.201481;4;831.259;214.364;12;0;1;1;-1.53923;-0.760035;-1.39857;-1.54279;-0.765048;-1.41811;1;0.213075;0.300705;1.17192;1;-0.0127329;-0.0123576;-0.0551489;-1;fp_not_a_fp;-1;0.242517;
